time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-11-16 23:30:04, 22.1145,65.5433,1000.0,   -8,     ,     ,     ,   ,   ,     ,  0,    
2025-11-16 23:30:04, 22.1145,65.5433, 997.1,   15,-11.8,-13.1,-11.7, 90,102, 1.40,309, 1.4
2025-11-16 23:30:58, 22.1135,65.5423, 961.2,  299, -4.7, -8.6, -7.6, 74, 78, 2.08, 42, 3.5
2025-11-16 23:31:48, 22.1119,65.5410, 931.4,  547, -4.3,-10.9, -9.7, 60, 63, 1.79, 20, 3.5
2025-11-16 23:31:59, 22.1116,65.5406, 925.0,  601, -4.6,-11.3,-10.1, 59, 62, 1.74, 21, 3.1
2025-11-16 23:33:14, 22.1107,65.5388, 882.8,  967, -6.9,-14.8,-13.3, 53, 57, 1.37,  2, 3.4
2025-11-16 23:33:25, 22.1107,65.5384, 877.4, 1015, -7.2,-14.9,-13.4, 54, 58, 1.36,  5, 3.6
2025-11-16 23:34:14, 22.1093,65.5369, 850.0, 1261, -9.1,-14.7,-13.1, 64, 70, 1.44, 27, 3.4
2025-11-16 23:35:03, 22.1074,65.5356, 823.2, 1508,-11.1,-14.5,-13.0, 76, 85, 1.51, 19, 2.4
2025-11-16 23:35:47, 22.1072,65.5347, 800.0, 1727,-12.7,-16.8,-15.0, 72, 81, 1.29, 16, 3.0
2025-11-16 23:36:30, 22.1066,65.5336, 777.8, 1941,-14.1,-19.6,-17.6, 63, 72, 1.04,  8, 3.3
2025-11-16 23:38:09, 22.1076,65.5312, 727.4, 2447,-16.4,-25.7,-23.2, 44, 52, 0.65,333, 5.2
2025-11-16 23:38:20, 22.1085,65.5307, 722.6, 2496,-16.5,-27.7,-25.0, 37, 44, 0.54,335, 5.7
2025-11-16 23:38:26, 22.1086,65.5305, 720.0, 2524,-16.6,-26.1,-23.6, 44, 51, 0.63,337, 5.9
2025-11-16 23:39:04, 22.1101,65.5286, 700.0, 2735,-18.5,-23.3,-21.0, 65, 78, 0.83,349, 5.3
2025-11-16 23:39:09, 22.1102,65.5283, 697.5, 2761,-18.7,-23.6,-21.3, 65, 78, 0.82,352, 5.0
2025-11-16 23:39:57, 22.1106,65.5267, 676.8, 2985,-20.8,-24.0,-21.6, 76, 93, 0.81,337, 2.8
2025-11-16 23:40:18, 22.1112,65.5262, 665.4, 3110,-21.7,-26.8,-24.2, 64, 79, 0.64,336, 2.6
2025-11-16 23:42:12, 22.1168,65.5249, 612.0, 3720,-26.7,-26.9,-24.3, 98,128, 0.69,270, 3.6
2025-11-16 23:42:39, 22.1188,65.5250, 600.0, 3863,-27.1,-29.2,-26.4, 83,108, 0.57,277, 4.4
2025-11-16 23:44:45, 22.1286,65.5238, 550.5, 4477,-32.4,-36.7,-33.4, 65, 90, 0.30,278, 3.8
2025-11-16 23:45:46, 22.1337,65.5235, 527.7, 4774,-35.1,-37.6,-34.3, 77,109, 0.28,284, 5.1
2025-11-16 23:46:04, 22.1357,65.5233, 520.1, 4874,-35.7,-41.5,-37.9, 55, 78, 0.19,280, 5.0
2025-11-16 23:46:51, 22.1416,65.5231, 502.7, 5110,-37.7,-43.7,-40.0, 53, 77, 0.16,268, 6.2
2025-11-16 23:46:58, 22.1424,65.5231, 500.0, 5147,-38.0,-44.4,-40.7, 51, 74, 0.15,268, 6.1
2025-11-16 23:47:22, 22.1456,65.5230, 491.1, 5271,-39.1,-45.7,-41.9, 50, 73, 0.13,276, 6.1
2025-11-16 23:47:30, 22.1466,65.5230, 489.0, 5300,-39.4,-46.2,-42.4, 48, 71, 0.12,275, 6.1
2025-11-16 23:48:00, 22.1504,65.5230, 478.5, 5448,-40.1,-48.1,-44.2, 42, 63, 0.10,264, 6.3
2025-11-16 23:48:08, 22.1517,65.5231, 476.0, 5484,-40.4,-47.7,-43.8, 46, 68, 0.11,263, 6.1
